puntaje,titulo,institucion,cantidad_opiniones
4.863013698630137,Les Fondamentaux de la Négociation,ESSEC Business School,73
4.693655589123867,Stanford Introduction to Food and Health,Stanford University,4965
4.815384615384615,Food & Beverage Management,Università Bocconi,715
4.701030927835052,Forensic Accounting and Fraud Examination,West Virginia University,873
4.84593023255814,Introduction to Forensic Science,"Nanyang Technological University, Singapore",344
4.8152866242038215,Foundations for Big Data Analysis with SQL,Cloudera,157
4.82051282051282,Foundations of Mindfulness,Rice University,39
4.602787456445993,Front-End Web Development with React,The Hong Kong University of Science and Technology,574
4.9,Fundamentals of Machine Learning for Healthcare,Stanford University,10
4.779751332149201,Fundamentals of Graphic Design,California Institute of the Arts,2815
4.689655172413793,Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,377
4.751980982567353,Introduction to Game Development,Michigan State University,1262
4.75,Gamification,University of Pennsylvania,672
4.553171196948021,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,2097
4.4573170731707314,Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,328
4.694018534119629,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,5935
4.650331125827814,Essential Google Cloud Infrastructure: Core Services,Google Cloud,755
4.707152496626181,Essential Google Cloud Infrastructure: Foundation,Google Cloud,1482
4.581430745814307,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,657
4.650406504065041,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,123
4.840304182509506,Introduction to Genetics and Evolution,Duke University,263
3.7349397590361444,Geopolitics of Europe,Sciences Po,83
4.7560975609756095,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,615
4.84984520123839,Claves para Gestionar Personas,IESE Business School,646
4.8560090702947845,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,1764
4.780898876404494,Get Interactive: Practical Teaching with Technology,University of London,178
4.673352435530086,Getting Started with Essay Writing,"University of California, Irvine",698
4.562162162162162,Getting Started with Google Sheets,Google Cloud,185
4.882352941176471,Getting started with TensorFlow 2,Imperial College London,51
4.852253756260434,Fundamentals of GIS,"University of California, Davis",1198
4.639322916666667,Global Diplomacy – Diplomacy in the Modern World,University of London,768
4.679310344827586,Global Diplomacy: the United Nations in the World,University of London,290
4.720125786163522,Politics and Economics of International Energy,Sciences Po,318
4.657243816254417,Global Environmental Management,Technical University of Denmark (DTU),283
4.8557457212713935,The Global Financial Crisis,Yale University,409
4.307984790874524,Global Financial Markets and Instruments,Rice University,263
4.794520547945205,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,657
4.621359223300971,Global Energy and Climate Policy,University of London,103
4.404458598726115,Getting Started with Go,"University of California, Irvine",314
4.691489361702128,Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology,94
4.818181818181818,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,33
3.94300518134715,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,193
4.619565217391305,Google Cloud Product Fundamentals,Google Cloud,92
4.245696400625978,Getting Started with Google Kubernetes Engine,Google Cloud,639
4.487019730010384,How Google does Machine Learning,Google Cloud,963
4.75310008857396,Grammar and Punctuation,"University of California, Irvine",4516
4.59463986599665,Greening the Economy: Sustainable Cities,Lund University,597
4.726591760299626,Guitar for Beginners,Berklee College of Music,534
4.716814159292035,Healing with the Arts,University of Florida,226
4.925925925925926,Health Behavior Change: From Evidence to Action,Yale University,27
4.2727272727272725,Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,11
4.777777777777778,High Stakes Leadership: Leading in Times of Crisis,University of Michigan,27
4.907407407407407,The Horse Course: Introduction to Basic Care and Management,University of Florida,270
4.808064516129032,How Things Work: An Introduction to Physics,University of Virginia,620
3.9888089528377297,Introduction to HTML5,University of Michigan,1251
4.758631512868801,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,3186
4.666666666666667,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,483
4.431095406360424,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,283
4.767123287671233,Human Rights for Open Societies,Utrecht University,73
4.811111111111111,IBM Customer Engagement Specialist Professional Certificate,IBM,180
4.435294117647059,"Penetration Testing, Incident Response and Forensics",IBM,85
4.5316239316239315,Industrial IoT on Google Cloud Platform,Google Cloud,585
