titulo,inscriptos,tipo_curso,institucion,nivel,categoria,lenguaje,duracion_semanas,precio_certif_usd
Vocal Recording Technology,52369.0,Self-paced on your time,Berklee College of Music,Introductory,Engineering,English,6,49.0
Agua 2.0: empresas eficientes para el siglo XXI,,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,8,25.0
IoT Sensors and Devices,33072.0,Self-paced on your time,Curtin University,Introductory,Computer Science,English,5,199.0
Introducción a las tecnologías para la Educación,31533.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,5,49.0
Fundamentos de la guitarra eléctrica y acústica,13124.0,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,6,49.0
e-Learning on Digital Agriculture,6238.0,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,5,5.0
Exploring GraphQL: A Query Language for APIs,9503.0,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,7,149.0
EmSAT English Preparation - Level 2,7346.0,Self-paced on your time,United Arab Emirates University,Intermediate,Language,English,6,49.0
The Data Science Method,7868.0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,7,39.0
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291.0,Self-paced on your time,Tsinghua University,Introductory,Humanities,English,16,49.0
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888.0,Self-paced on your time,Waseda University,Intermediate,Physics,English,4,49.0
Macroeconomic Diagnostics,23408.0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,6,25.0
BioStatistics,14937.0,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,8,79.0
Results-Based Project Management: Monitoring and Evaluation,32810.0,Self-paced on your time,Wits University,Intermediate,Business & Management,English,8,199.0
Estrategias y estilos de negociación,12639.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4,149.0
Políticas efectivas de desarrollo infantil,64387.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,10,25.0
Alzheimer’s Disease & Dementia Care,5763.0,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,5,49.0
Understanding Classroom Interaction,27114.0,Self-paced on your time,University of Pennsylvania,Introductory,Education & Teacher Training,English,5,49.0
Sign Language Science: Emergence and Evolution of Sign Language,8313.0,Self-paced on your time,Georgetown University,Introductory,Language,English,4,99.0
International Humanitarian Law,31419.0,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,12,150.0
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,6,49.0
Introduction to Astrophysics,20802.0,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Physics,English,7,139.0
Epidemics I,10618.0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,5,139.0
Introducción a la genética y la evolución,15297.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Biology & Life Sciences,Español,3,49.0
Fundamentals of Macroeconomics,17820.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Economics & Finance,English,6,129.0
"Blockchain and FinTech: Basics, Applications, and Limitations",22011.0,Self-paced on your time,University of Hong Kong,Introductory,Computer Science,English,6,199.0
Molecular Biology - Part 2: Transcription and Transposition,18168.0,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,English,7,99.0
"One Planet, One Ocean",12166.0,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,6,49.0
Reputation Management in a Digital World,39672.0,Self-paced on your time,Curtin University,Intermediate,Communication,English,6,99.0
Google Ads: publicidad efectiva,12084.0,Self-paced on your time,Universidad Galileo,Introductory,Business & Management,Español,5,49.0
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,4,50.0
Computer Vision Fundamentals with Watson and OpenCV,7032.0,Self-paced on your time,IBM,Introductory,Computer Science,English,14,99.0
Japanese Business Management,14852.0,Self-paced on your time,Waseda University,Intermediate,Business & Management,English,4,129.0
Introduction to Cloud Computing,,Self-paced on your time,IBM,Introductory,Computer Science,English,6,49.0
Fundamentos de logística,7397.0,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,5,29.0
Sustainable Urban Development,45760.0,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Introductory,Social Sciences,English,7,50.0
Introduction to Biomedical Imaging,56485.0,Self-paced on your time,The University of Queensland,Introductory,Medicine,English,12,99.0
Introducción a la programación en Java: empezando a programar,23321.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,Español,5,49.0
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,5,169.0
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083.0,Self-paced on your time,Harvard University,Introductory,History,English,15,139.0
Introduction to DevOps and Site Reliability Engineering,8697.0,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,10,149.0
SQL aplicado en la  ciencia de datos,,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,4,39.0
Sign Language Science: Factors Contributing to Nature Structure,,Self-paced on your time,Georgetown University,Introductory,Language,English,4,99.0
Gender and Intersectionality,,Self-paced on your time,The University of Iceland,Introductory,Humanities,English,6,50.0
Digital Transformation in Business,10118.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,7,214.0
Designing and Creating Trousers,7544.0,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,5,99.0
Introducción a la teoría política: conceptos y grandes pensadores,11741.0,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,Español,7,59.0
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426.0,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,11,49.0
Industry 4.0: How to Revolutionize your Business,28404.0,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,6,50.0
Desafíos y oportunidades en la economía digital,47792.0,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,10,25.0
Pensamiento crítico: toma de decisiones razonadas,16853.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4,149.0
"MathTrackX: Polynomials, Functions and Graphs",,Self-paced on your time,University of Adelaide,Introductory,Math,English,4,79.0
Sustainable Food Security: Crop Production,35367.0,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,6,49.0
Network and Security Foundations,7301.0,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,8,299.7
Cannabis Cultivation and Processing,7419.0,Self-paced on your time,Doane University,Introductory,Environmental Studies,English,3,179.0
"Data, Models and Decisions in Business Analytics",36289.0,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,12,249.0
Data Structures Fundamentals,42381.0,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,6,99.0
Shaping Work of the Future,22246.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,8,49.0
Introducción a la robótica e industria 4.0,7056.0,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,3,49.0
Fighting for Equality: 1950–2018,9274.0,Self-paced on your time,Columbia University,Intermediate,History,English,10,50.0
"Design Thinking: Ideation, Iteration and Communication",14629.0,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,6,299.0
Negotiation Strategies and Styles,,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,4,149.0
Crear música con tecnología,10961.0,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,6,49.0
Análisis de datos: Diseño y Visualización de Tableros,18368.0,Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,Español,8,49.0
Comunicación estratégica: gestión de crisis e imagen pública,7017.0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,4,49.0
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052.0,Self-paced on your time,University of Adelaide,Intermediate,Business & Management,English,4,199.0
Unlocking Information Security: Part II,6426.0,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,6,149.0
Human Rights Defenders,27338.0,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,4,49.0
Product Design: The Delft Design Approach,87539.0,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,7,79.0
Introduction to Psychology | 心理学概论,30731.0,Self-paced on your time,Tsinghua University,Introductory,Philosophy & Ethics,中文,13,139.0
Circuits and Electronics 3: Applications,9347.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,7,169.0
Vaccines: from smallpox to technologies of the future,6166.0,Self-paced on your time,KU Leuven University,Intermediate,Medicine,English,6,49.0
Le management,6273.0,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,5,149.0
Circular Economy for a Sustainable Built Environment,8032.0,Self-paced on your time,Delft University of Technology,Intermediate,Architecture,English,6,50.0
Agile Innovation and Problem Solving Skills,12667.0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,4,199.0
International Investment Law,23335.0,Instructor-led on a course schedule,Université catholique de Louvain,Advanced,Law,English,10,150.0
Animation and CGI Motion,36827.0,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,12,249.0
Terrorism and Counterterrorism,28580.0,Self-paced on your time,Georgetown University,Introductory,Humanities,English,7,49.0
Découvrir le marketing,30030.0,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Business & Management,Français,10,150.0
Solar Energy: Photovoltaic (PV) Energy Conversion,38041.0,Instructor-led on a course schedule,Delft University of Technology,Advanced,Engineering,English,12,250.0
Introduction to Actuarial Science,52667.0,Self-paced on your time,Australian National University,Introductory,Data Analysis & Statistics,English,8,49.0
PredictionX: Lost Without Longitude,9114.0,Self-paced on your time,Harvard University,Introductory,History,English,1,49.0
Information Technology Foundations,6388.0,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,6,399.6
Introducción a la Inteligencia Artificial de Watson,,Self-paced on your time,IBM,Introductory,Computer Science,Español,8,49.0
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013.0,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,5,125.0
Instructional Design and Technology: Learning Theories,21296.0,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Education & Teacher Training,English,8,299.0
"Algorithms: Design and Analysis, Part 2",,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,6,149.0
The Math of Data Science: Linear Algebra,6746.0,Self-paced on your time,Rice University,Intermediate,Math,English,8,159.0
Introducción al quirófano,,Self-paced on your time,Universidades Anáhuac,Intermediate,Medicine,Español,6,49.0
The Hardware of a Quantum Computer,20052.0,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,6,79.0
Grabar y mezclar música,10856.0,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,4,49.0
Leadership focused on Human Flourishing,,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,4,149.0
Automata Theory,,Self-paced on your time,Stanford University,Advanced,Computer Science,English,7,129.0
¡Conceptos básicos de Python para Data Science!,,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,5,49.0
Herramientas para el Análisis de Big Data,8118.0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,4,49.0
Foundations of Central Bank Law,6169.0,Self-paced on your time,The International Monetary Fund,Intermediate,Law,English,6,25.0
C Programming: Modular Programming and Memory Management,18690.0,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,7,49.0
Enseñanza temprana de matemáticas y ciencias,8250.0,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,10,25.0
Entrepreneurship 102: What can you do for your customer?,11275.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,10,49.0
Italian Language and Culture: Advanced (2019-2020),24667.0,Self-paced on your time,Wellesley College,Advanced,Language,Italiano,12,49.0
Introduction to Marketing,,Self-paced on your time,The University of Edinburgh,Introductory,Business & Management,English,6,149.0
Origins of the Human Mind,11812.0,Self-paced on your time,Kyoto University,Introductory,Science,English,5,49.0
Introduction to Geometry,61824.0,Self-paced on your time,SchoolYourself,Introductory,Math,English,14,50.0
The Future of Work: Preparing for Disruption,43125.0,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,5,5.0
Clinical Reasoning Process,5367.0,Self-paced on your time,Université de Montréal,Introductory,Medicine,English,6,149.0
Datos para la efectividad de las políticas públicas,80425.0,Self-paced on your time,Inter-American Development Bank,Introductory,Data Analysis & Statistics,Español,10,25.0
Media Law,7253.0,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,14,249.0
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826.0,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,10,25.0
"Diseña, fabrica y programa tu propio robot",25024.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,6,75.0
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289.0,Self-paced on your time,University of Texas at Arlington,Introductory,Education & Teacher Training,English,6,139.0
Circular Economy: An Interdisciplinary Approach,10281.0,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,English,6,149.0
Calculus 1B: Integration,44669.0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Math,English,15,100.0
Algorithmic Design and Techniques,40620.0,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,6,99.0
Drinking Water Treatment,51918.0,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,7,50.0
Fundamentos de información financiera y contable,7789.0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,5,49.0
Les principes de la finance,44037.0,Self-paced on your time,Université catholique de Louvain,Intermediate,Business & Management,Français,13,150.0
Music Technology Foundations,34550.0,Self-paced on your time,University of Adelaide,Introductory,Computer Science,English,6,169.0
The Entrepreneurial Mindset,31077.0,Self-paced on your time,Babson College,Introductory,Business & Management,English,6,149.0
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453.0,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,5,49.0
Risk Management and Credit Principles,9028.0,Self-paced on your time,NYIF,Advanced,Economics & Finance,English,6,199.0
Steps in Japanese for Beginners1 Part3,6169.0,Self-paced on your time,Waseda University,Introductory,Language,English,5,99.0
Structural Materials: Selection and Economics,9752.0,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Engineering,English,3,50.0
Algorithm Design and Analysis,39137.0,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,4,149.0
Estructuras de Datos con Python,,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,7,49.0
Mandarin Chinese for Business,12384.0,Self-paced on your time,MandarinX,Intermediate,Language,English,6,149.0
Bases Matemáticas: Números y terminología,26060.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Math,Español,4,50.0
Arab-Islamic History: From Tribes to Empires,17321.0,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Humanities,English,8,149.0
Human-Computer Interaction I: Fundamentals & Design Principles,9010.0,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,6,99.0
Modeling and simulation of multibody systems,,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Engineering,English,14,50.0
The Science of Parenting,37538.0,Self-paced on your time,"The University of California, San Diego",Introductory,Social Sciences,English,5,49.0
Inclusive Teaching: Supporting All Students in the College Classroom,9899.0,Self-paced on your time,Columbia University,Introductory,Education & Teacher Training,English,6,49.0
Analytics for Decision Making,31031.0,Self-paced on your time,Babson College,Introductory,Business & Management,English,4,249.0
Principios de Análisis e Instrumentos Financieros,,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,5,49.0
Energy Principles and Renewable Energy,19520.0,Instructor-led on a course schedule,The University of Queensland,Advanced,Energy & Earth Sciences,English,14,375.0
DNA: Biology’s Genetic Code,35162.0,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,English,6,169.0
Music For Wellness,19728.0,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,4,49.0
Mining Massive Datasets,5311.0,Self-paced on your time,Stanford University,Advanced,Computer Science,English,7,149.0
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041.0,Self-paced on your time,Tokyo Institute of Technology,Introductory,Engineering,English,4,50.0
A travel by Spanish America: Spanish for beginners,,Self-paced on your time,Universidad del Rosario,Introductory,Language,Español,4,49.0
Introducción a la Inteligencia Artificial,11184.0,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,4,49.0
Introducción a la Inteligencia Artificial: Principales Algoritmos,,Self-paced on your time,Universidad Galileo,Introductory,Computer Science,Español,4,49.0
Digital Security and Human Rights,11443.0,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,3,49.0
Critical thinking: reasoned decision making,6923.0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,English,4,149.0
Introduction to the Internet of Things,7581.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,English,6,50.0
Trading - Fundamentals of Technical Analysis,,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,6,199.0
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Medicine,Español,6,49.0
Design Thinking: Empathizing to Understand the Problem,13340.0,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,6,299.0
Storytelling in the Workplace,,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,3,199.0
Marketing Analytics: Price and Promotion Analytics,41021.0,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,4,249.0
Implementation of Data Structures,27761.0,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,6,149.0
Activism and Citizen Journalism through Media,7460.0,Self-paced on your time,Wits University,Introductory,Communication,English,4,49.0
Electric and Conventional Vehicles,22089.0,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,6,249.0
Big Data Fundamentals,40106.0,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,10,199.0
Sustainable Food Security: The value of systems thinking,26600.0,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,6,49.0
Knowledge Management and Big Data in Business,69064.0,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,8,50.0
Uso efectivo del tiempo,6409.0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,6,49.0
C Programming: Pointers and Memory Management,19171.0,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,7,49.0
Astrophysics: The Violent Universe,65711.0,Self-paced on your time,Australian National University,Intermediate,Physics,English,10,50.0
Landscape Ecology,8644.0,Self-paced on your time,ETH Zurich,Intermediate,Environmental Studies,English,14,50.0
IoT Programming and Big Data,21591.0,Self-paced on your time,Curtin University,Introductory,Computer Science,English,5,199.0
AWS: Getting Started with Cloud Security,8192.0,Self-paced on your time,Amazon Web Services,Introductory,Computer Science,English,4,49.0
Introducción a la gravedad cuántica de lazos,7360.0,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,5,50.0
Introduction to the Music Business,46607.0,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,6,49.0
Introducción a la programación en C: Tipos de datos y estructuras,13480.0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,4,49.0
Visualización de Datos y Storytelling,5980.0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,4,49.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),,Self-paced on your time,The University of Michigan,Introductory,Business & Management,Español,7,49.0
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488.0,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,7,49.0
Macroeconomics - The Basics,,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,8,79.0
Fundamentals of Financial Mathematics and Capital Budgeting,5410.0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,4,99.0
Gestión participativa: motivación y liderazgo organizacional,23441.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Business & Management,Español,8,79.0
Herramientas de ciencia de datos: uso práctico,,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,7,39.0
Bienestar para el desarrollo personal y profesional,,Self-paced on your time,Universidades Anáhuac,Intermediate,Health & Safety,Español,5,29.0
Energía eléctrica: conceptos y principios básicos,9762.0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Engineering,Español,7,49.0
Market Segmentation Analysis,17055.0,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,5,99.0
Pensamento crítico: tomada de decisões fundamentadas,,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Português,4,149.0
AP® English Literature & Composition – Part 2: Poems,5719.0,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,7,49.0
"Electrical, Optical & Magnetic Materials and Devices",16905.0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,16,150.0
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,4,99.0
How to Design a Successful Business Model,33656.0,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,8,99.0
Ecodesign for Cities and Suburbs,28472.0,Self-paced on your time,University of British Columbia,Introductory,Environmental Studies,English,6,99.0
Agile Software Development,37158.0,Self-paced on your time,ETH Zurich,Introductory,Computer Science,English,6,50.0
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144.0,Self-paced on your time,Universidad del Rosario,Intermediate,Computer Science,Español,4,49.0
Essentials of Program Strategy and Evaluation,,Self-paced on your time,Stanford University,Introductory,Philanthropy,English,4,50.0
Gestão de Projetos de Desenvolvimento,28337.0,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Português,10,49.0
Innovation: From Plan to Product,12918.0,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,10,249.0
Introduction to Database Queries,,Self-paced on your time,New York University,Introductory,Computer Science,English,5,166.0
Climate Change: Carbon Capture and Storage,10551.0,Self-paced on your time,The University of Edinburgh,Introductory,Engineering,English,5,49.0
Reservoir Geomechanics,5280.0,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,English,10,129.0
Fundamentos de administración estratégica,,Self-paced on your time,Universidades Anáhuac,Intermediate,Business & Management,Español,5,49.0
IoT System Architecture: Design and Evaluation,5914.0,Self-paced on your time,Waseda University,Introductory,Computer Science,English,3,99.0
Noongar Language and Culture,10858.0,Self-paced on your time,Curtin University,Introductory,Language,English,6,139.0
Sorting Truth From Fiction: Civic Online Reasoning,,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Education & Teacher Training,English,4,49.0
Sustainable Food Security: Food Access,18943.0,Self-paced on your time,Wageningen University & Research,Introductory,Social Sciences,English,6,49.0
Bases Matemáticas: Integrales,23703.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,5,50.0
Epidemics II,8565.0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,3,139.0
Derechos humanos: Los derechos de las personas refugiadas,28398.0,Self-paced on your time,Amnesty International,Introductory,Humanities,Español,3,49.0
Sign Language Science: Factors Contributing to Natural Learning,,Self-paced on your time,Georgetown University,Introductory,Language,English,4,99.0
Big Data Analytics,43009.0,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,10,199.0
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594.0,Self-paced on your time,Imperial College London,Intermediate,Math,English,7,49.0
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Social Sciences,Español,6,25.0
Achieving Product-Market Fit,,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,4,199.0
Culture and Law: The East Asian Perspective,,Self-paced on your time,Waseda University,Introductory,Social Sciences,English,3,49.0
Fundamentals of Market Structure,32049.0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,1,25.0
Protecting Children in Humanitarian Settings,7246.0,Self-paced on your time,Columbia University,Intermediate,Social Sciences,English,12,50.0
How to Achieve the Sustainable Development Goals,12719.0,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,7,49.0
Aprendizaje y Enseñanza en la Era Digital,16954.0,Self-paced on your time,Universidad Galileo,Intermediate,Education & Teacher Training,Español,4,49.0
From Atoms to Stars: How Physics Explains Our World,15914.0,Self-paced on your time,National Research Nuclear University,Intermediate,Physics,English,4,49.0
The Threat of Nuclear Terrorism,,Self-paced on your time,Stanford University,Introductory,History,English,5,50.0
Introducción a Matemáticas para Finanzas y Negocios,,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,5,49.99
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,7,75.0
Liderazgo inclusivo,,Self-paced on your time,Universidad Carlos III de Madrid,Intermediate,Business & Management,Español,5,29.0
مساق اللّغة العربيّة,,Self-paced on your time,United Arab Emirates University,Introductory,Language,اللغة العربية,8,49.0
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330.0,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,6,79.0
Contemporary Issues in World Politics,11426.0,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,7,59.0
More Fun with Prime Numbers,10604.0,Self-paced on your time,Kyoto University,Intermediate,Math,English,5,49.0
Enterprise Selling,5020.0,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,6,149.0
Climate Change: Financial Risks and Opportunities,9977.0,Self-paced on your time,Imperial College Business School-Imperial College London,Intermediate,Economics & Finance,English,4,79.0
Caer o No caer. El Secreto de las Estructuras.,20939.0,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Engineering,Español,8,29.0
Mandarin Chinese Level 2,8784.0,Self-paced on your time,MandarinX,Introductory,Language,English,6,149.0
Design Thinking: Prototyping and User Testing,10769.0,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,6,299.0
Bases Matemáticas: Derivadas,24301.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,5,50.0
Buscar en Internet,27320.0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,7,49.0
Big Data and Education,14909.0,Self-paced on your time,University of Pennsylvania,Advanced,Data Analysis & Statistics,English,8,169.0
Model-Based Automotive Systems Engineering,13857.0,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,7,249.0
Introduction to Hyperledger Blockchain Technologies,138884.0,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,14,199.0
MathTrackX: Integral Calculus,,Self-paced on your time,University of Adelaide,Introductory,Math,English,4,79.0
Solar Energy Engineering: Comprehensive Exams,,Self-paced on your time,Delft University of Technology,Advanced,Engineering,English,8,250.0
Mercados de capital y participantes claves,7210.0,Self-paced on your time,NYIF,Introductory,Economics & Finance,Español,2,49.0
Introducción al desarrollo de videojuegos con Unity,27474.0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,6,50.0
